step,0_zone_wastes,1_zone_wastes,2_zone_wastes,red_zone_wastes
1,20,6,4,0
2,20,5,3,0
3,18,5,3,0
4,16,5,4,1
5,16,5,4,1
6,15,5,4,1
7,16,5,4,1
8,16,5,4,1
9,16,5,3,1
10,16,5,3,1
11,16,5,4,2
12,15,5,4,2
13,15,5,4,2
14,16,5,4,2
15,15,5,4,2
16,14,5,4,2
17,14,5,4,2
18,14,6,4,2
19,13,6,4,2
20,12,6,4,2
21,12,6,4,2
22,12,6,4,2
23,11,6,4,2
24,11,5,4,2
25,11,6,4,2
26,12,5,4,2
27,12,4,4,2
28,11,3,4,2
29,11,3,4,2
30,11,4,4,2
31,10,4,5,3
32,10,4,5,3
33,10,4,5,3
34,10,4,5,3
35,11,4,5,3
36,11,4,4,3
37,10,4,4,3
38,10,4,3,3
39,9,4,3,3
40,10,4,4,4
41,10,4,5,5
42,9,4,5,5
43,9,3,5,5
44,10,2,5,5
45,9,2,5,5
46,8,2,5,5
47,8,3,5,5
48,9,2,5,5
49,9,2,5,5
50,8,2,5,5
